ShiftLeft holdTime, 186.60000000149012, 192.5, 223.30000000447035, 225.39999999850988, 223.69999999552965
KeyC holdTime, 79.20000000298023, 41.79999999701977, 110.60000000149012, 76.39999999850988, 79.89999999850988
KeyA holdTime, 111.60000000149012, 115.10000000149012, 112.89999999850988, 114.30000000447035, 112.5
KeyD holdTime, 113.80000000447035, 115.89999999850988, 81.70000000298023, 113.79999999701977, 115.30000000447035
KeyE holdTime, 68, 67.89999999850988, 67.5, 75.80000000447035, 117.79999999701977
KeyN holdTime, 75.60000000149012, 69.69999999552965, 73, 76.40000000596046, 75.59999999403954
ShiftLeft flatTime, 0, 0, 0, 0, 0
KeyC flatTime, 110.89999999850988, 151.70000000298023, 184.39999999850988, 153.39999999850988, 148.79999999701977
KeyA flatTime, 140.5, 119.89999999850988, 174.10000000149012, 212, 222.30000000447035
KeyD flatTime, 465, 213.89999999850988, 178.89999999850988, 173.30000000447035, 216.19999999552965
KeyE flatTime, 116.70000000298023, 117.80000000447035, 84, 74.19999999552965, 74.70000000298023
KeyN flatTime, 111.29999999701977, 116.89999999850988, 121, 150.39999999850988, 235.60000000149012